row,column,value
4,89,-0.591043
4,90,-0.58127
4,91,-0.56731
4,92,-0.549302
4,93,-0.527443
4,94,-0.501984
4,95,-0.473229
4,96,-0.441531
4,97,-0.407296
4,98,-0.370966
4,99,-0.333012
4,100,-0.293905
4,101,-0.254116
4,102,-0.214115
4,103,-0.174363
4,104,-0.135299
4,105,-0.0973349
4,106,-0.0608485
4,107,-0.0261767
4,108,0.00638358
4,109,0.0366003
4,110,0.0643232
4,111,0.0894411
4,112,0.111865
4,113,0.131525
4,114,0.148352
4,115,0.162275
4,116,0.173197
4,117,0.180982
4,118,0.185443
4,119,0.186321
4,120,0.183291
4,121,0.175957
4,122,0.163893
4,123,0.1467
4,124,0.124162
4,125,0.0964161
4,126,0.0645259
4,127,0.0304774
4,128,0
5,0,0
5,1,-0.027324
5,2,-0.0468856
5,3,-0.0591269
5,4,-0.0648141
5,5,-0.0648822
5,6,-0.0603028
5,7,-0.0520009
5,8,-0.0408045
5,9,-0.0274241
5,10,-0.012448
5,11,0.00365204
5,12,0.0205074
5,13,0.0378354
5,14,0.0554334
5,15,0.0731656
5,16,0.0909497
5,17,0.108746
5,18,0.126547
5,19,0.144367
5,20,0.162239
5,21,0.180202
5,22,0.198296
5,23,0.216561
5,24,0.235028
5,25,0.253718
5,26,0.272639
5,27,0.291783
5,28,0.311128
5,29,0.330632
5,30,0.35024
5,31,0.369877
5,32,0.389454
5,33,0.408866
5,34,0.427995
5,35,0.44671
5,36,0.464867
5,37,0.482313
5,38,0.498887
5,39,0.51442
5,40,0.528737
5,41,0.541659
5,42,0.553008
5,43,0.562602
5,44,0.570262
5,45,0.575813
5,46,0.579085
5,47,0.579915
5,48,0.578149
5,49,0.573647
5,50,0.566278
5,51,0.55593
5,52,0.542506
5,53,0.525928
5,54,0.506138
5,55,0.4831
5,56,0.4568
5,57,0.427249
5,58,0.394483
5,59,0.358564
5,60,0.319581
5,61,0.277648
5,62,0.232908
5,63,0.185532
5,64,0.135714
5,65,0.0836769
5,66,0.0296645
5,67,-0.0260639
5,68,-0.0831914
5,69,-0.141341
5,70,-0.200124
5,71,-0.25913
5,72,-0.317936
5,73,-0.376104
5,74,-0.433187
5,75,-0.488729
5,76,-0.54227
5,77,-0.593353
5,78,-0.641521
5,79,-0.686329
5,80,-0.727346
5,81,-0.764161
5,82,-0.796387
5,83,-0.823672
5,84,-0.845697
5,85,-0.862192
5,86,-0.872934
5,87,-0.877754
5,88,-0.876548
5,89,-0.869275
5,90,-0.855963
5,91,-0.836715
5,92,-0.811708
5,93,-0.781193
5,94,-0.745498
5,95,-0.705022
5,96,-0.660237
5,97,-0.611676
5,98,-0.559936
5,99,-0.505662
5,100,-0.449528
5,101,-0.392202
5,102,-0.334346
5,103,-0.276615
5,104,-0.219641
5,105,-0.164021
5,106,-0.110312
5,107,-0.059015
5,108,-0.0105816
5,109,0.0346013
5,110,0.0762588
5,111,0.114196
5,112,0.148251
5,113,0.178286
5,114,0.204177
5,115,0.225793
5,116,0.242976
5,117,0.255527
5,118,0.263179
5,119,0.26559
5,120,0.262333
5,121,0.252906
5,122,0.236772
5,123,0.213434
5,124,0.18258
5,125,0.144265
5,126,0.0994048
5,127,0.0497242
5,128,0
6,0,0
6,1,-0.0354645
6,2,-0.0596815
6,3,-0.0740679
6,4,-0.0798797
6,5,-0.0784633
6,6,-0.0710898
6,7,-0.0589345
6,8,-0.0430342
6,9,-0.0242763
6,10,-0.00339673
6,11,0.01901
6,12,0.0424711
6,13,0.0666249
6,14,0.0912092
6,15,0.116045
6,16,0.141019
6,17,0.166074
6,18,0.191192
6,19,0.216385
6,20,0.241685
6,21,0.267132
6,22,0.292768
6,23,0.318632
6,24,0.344752
6,25,0.371142
6,26,0.397795
6,27,0.424688
6,28,0.451774
6,29,0.478984
6,30,0.506226
6,31,0.533385
6,32,0.560328
6,33,0.5869
6,34,0.612928
6,35,0.638223
6,36,0.662581
6,37,0.685788
6,38,0.707617
6,39,0.727836
6,40,0.746206
6,41,0.762485
6,42,0.776432
6,43,0.787809
6,44,0.796379
6,45,0.801917
6,46,0.804206
6,47,0.803041
6,48,0.798234
6,49,0.789614
6,50,0.777031
6,51,0.760356
6,52,0.739485
6,53,0.714341
6,54,0.684875
6,55,0.651066
6,56,0.612926
6,57,0.570497
6,58,0.523857
6,59,0.473113
6,60,0.41841
6,61,0.359923
6,62,0.297865
6,63,0.232478
6,64,0.16404
6,65,0.0928583
6,66,0.0192703
6,67,-0.0563608
6,68,-0.133595
6,69,-0.211942
6,70,-0.290897
6,71,-0.369939
6,72,-0.448524
6,73,-0.526097
6,74,-0.602089
6,75,-0.675922
6,76,-0.747016
6,77,-0.814791
6,78,-0.878674
6,79,-0.938102
6,80,-0.992531
6,81,-1.04144
6,82,-1.08434
6,83,-1.12079
6,84,-1.15037
6,85,-1.17274
6,86,-1.1876
6,87,-1.19473
6,88,-1.19398
6,89,-1.18529
6,90,-1.16868
6,91,-1.14424
6,92,-1.11219
6,93,-1.07282
6,94,-1.02653
6,95,-0.973811
6,96,-0.915231
6,97,-0.851457
6,98,-0.78323
6,99,-0.711359
6,100,-0.636709
6,101,-0.560171
6,102,-0.482626
6,103,-0.404938
6,104,-0.327949
6,105,-0.252464
6,106,-0.179239
6,107,-0.10897
6,108,-0.0422867
6,109,0.0202459
6,110,0.0781787
6,111,0.131197
6,112,0.179042
6,113,0.221489
6,114,0.258333
6,115,0.289368
6,116,0.314363
6,117,0.333041
6,118,0.345054
6,119,0.349969
6,120,0.347258
