row,column,value
6,46,-0.0277573
6,47,-0.0273157
6,48,-0.0268005
6,49,-0.0262137
6,50,-0.0255576
6,51,-0.024835
6,52,-0.0240489
6,53,-0.0232028
6,54,-0.0223008
6,55,-0.0213471
6,56,-0.0203466
6,57,-0.0193046
6,58,-0.0182267
6,59,-0.0171189
6,60,-0.0159878
6,61,-0.0148403
6,62,-0.0136836
6,63,-0.0125253
6,64,-0.0113734
6,65,-0.010236
6,66,-0.00912142
6,67,-0.00803817
6,68,-0.00699474
6,69,-0.00599954
6,70,-0.0050608
6,71,-0.00418637
6,72,-0.00338358
6,73,-0.00265901
6,74,-0.00201828
6,75,-0.00146577
6,76,-0.00100433
6,77,-0.000635023
6,78,-0.000356902
6,79,-0.000166354
6,80,-6.15612e-05
6,81,0
7,0,0
7,1,-8.72587e-05
7,2,-0.000229611
7,3,-0.000477341
7,4,-0.00082692
7,5,-0.00127896
7,6,-0.00183191
7,7,-0.00248277
7,8,-0.00322711
7,9,-0.00405928
7,10,-0.00497263
7,11,-0.00595974
7,12,-0.0070126
7,13,-0.00812279
7,14,-0.00928164
7,15,-0.0104804
7,16,-0.0117103
7,17,-0.0129628
7,18,-0.0142293
7,19,-0.0155016
7,20,-0.0167718
7,21,-0.0180323
7,22,-0.0192758
7,23,-0.0204953
7,24,-0.0216844
7,25,-0.022837
7,26,-0.0239471
7,27,-0.0250095
7,28,-0.0260191
7,29,-0.0269713
7,30,-0.0278617
7,31,-0.0286865
7,32,-0.029442
7,33,-0.0301249
7,34,-0.0307324
7,35,-0.0312617
7,36,-0.0317106
7,37,-0.0320772
7,38,-0.0323596
7,39,-0.0325567
7,40,-0.0326673
7,41,-0.0326907
7,42,-0.0326265
7,43,-0.0324747
7,44,-0.0322356
7,45,-0.0319098
7,46,-0.0314983
7,47,-0.0310025
7,48,-0.0304242
7,49,-0.0297655
7,50,-0.0290292
7,51,-0.0282181
7,52,-0.0273359
7,53,-0.0263864
7,54,-0.025374
7,55,-0.0243037
7,56,-0.0231807
7,57,-0.0220108
7,58,-0.0208005
7,59,-0.0195563
7,60,-0.0182856
7,61,-0.0169958
7,62,-0.0156952
